"300 obtained, 0 missing (300 visible)",,Short URL: http://goo.gl/HxAzdJ  --  Item search: http://toukiden.surge.sh/itemsearch -- Mitama skill search: http://toukiden.surge.sh/mitamasearch -- To have your own editable checklist: File -> Make a Copy...,,,,,,,,,,,,,,,,,,,
#,Name,Obtained,New in Kiwami,Confirmed source,Type,Age,Source,Difficulty,Where to find,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12
162,Mori Ranmaru,x,x,x,SUP,War,Cimmerian King,Ultimate,"P16-3, P16-8",Attack up (Lv.4),Desperation,Swordsmanship,Falling Petals,Diffusion+ (Swift),Leech+ (Amplify),Leech+ (Absorb),Sacrifice+ (Leech),Leech+ (Range),SUP Master (Amplify),Majesty,Charity
163,Murasaki Shikibu,x,,x,SPD,Grace,Venom Queen,Ex,"C6-15, C6-17, P6-9, P6-14, P10-13",Chain,Prescience,ATK Master (Amplify),Energy (Stock +3),Piety,Energy+ (Quicken),SPT Master (Purify),Vigor (Stock +1),Recovery+ (Blessing),SPC Master (Purify),Recovery+ (Range),Restart
164,Nagasunehiko,x,x,x,PLN,Yore,Screecher,Ex,"C8-3, C10-1, C11-3, P12-18",Notice Destroyer,Resillience,Tenacity,Recovery+ (Bonus),Ablution+ (Rigid),Expert Destroyer,Chance,Swordsmanship,Intensity (Stock +1),Insight,Majesty,Master Destroyer
165,Nakano Takeko,x,,x,ATK,Chaos,Hell's Warden,Normal,"C5-12, C5-15, P5-5, P5-8",Recovery+ (Heal),Relaxation,Resillience,Zeal+ (Rage),Lifesaver,Recovery (Stock +2),Attack up (Lv.2),Recovery+ (Bonus),Recovery+ (Amplify),Vitality (Stock +2),Dancing Grace,Recovery+ (Range)
166,Nakaoka Shintaro,x,,x,SPC,Chaos,Pyropteryx,Normal,C5-1,Extinguishment,Sanctum+ (Hardy),Piety,Illusion+ (Sturdy),Illusion+ (Sanctity),Wrath,Puncture (Reduce),Tolerance (Lv. 3),Illusion (Stock +2),Sanctum (Stock +3),Sanctum+ (Accuracy),Restart
167,Nakatomi No Kamatari,x,,x,SPC,Yore,Umbrapod,Ex,P8-10,Prescience,Fitness (Lv. 2),Sanctum+ (Amplify),Warp (Reduce),Pursuit (Reduce),Fountain (Reduce),Pursuit+ (Track),SPC Master (Quicken),Expert Destroyer,SPT Master (Augument),SPT Master (Renewal),Restart
168,Naoe Kanetsugu,x,,x,DEF,War,Windshredder,Ex,"C6-7, P10-9",Stamina (Lv. 2),Chain,Lifesaver,Shield (Stock +2),Piety,Shield (Reduce),Sanctum+ (Amplify),Shield+ (Valiant),Protection (Lv. 4),DEF Master (Protect),Taunt+ (Amity),Charity
169,Nasu no Yoichi,x,,x,SPT,Honor,Bladewing,Ex,"P8-11, P8-14",Swiftness,Application (Lv. 2),Knowledge (Lv.2),Energy (Reduce),Attack up (Lv.2),Pursuit (Stock +3),Pursuit+ (Accuracy),Verity (Lv.4),Energy (Time +10s),Surveyance,Conduction,Prescience
170,Nene,x,,x,SPC,War,Pyropteryx,Normal,"C4-4, P4-3",Recovery (Stock +1),Chain,Warp+ (Flight),Sanctum (Stock +1),Warp (Reduce),Application (Lv. 2),Warp (Stock +15),Warp (Bonus),Tolerance (Lv. 3),Recovery+ (Blessing),Ebullience,Exuberance
171,Nezumi Kozo,x,,x,SPD,Peace,Shadow Soul,Normal,"P3-1, S-16",Extinguishment,Swiftness,Verity (Lv.2),Energy (Stock +1),Chain,Illusion (Stock +1),Vigor+ (Sneak),Affliction (Lv. 3),Gymnast,Illusion (TIme +10s),Exploit (Rage),Exploit (Accuracy)
172,Niijima Jo,x,x,x,SUP,Chaos,Manhunter,Normal,"C4-13, P4-17",Tolerance (Lv. 1),Altruism (Stock +1),Pursuit+ (Bolster),Altruism+ (Amplify),Fountain+ (Bolster),Tolerance (Lv. 3),SPT Master (Devote),Appraisal,Altruism+ (Attrib.),Tolerance (Lv. 4),Altruism+ (Nimble),Knowledge (Leech)
173,Niijima Yae,x,,x,SPT,Chaos,Razortalon,Ex,"C7-2, C9-3, P7-2",Pursuit+ (Leech),Devastation,Knowledge (Lv.2),Pursuit (Stock +1),Eruption+ (Bolster),Pursuit+ (Bolster),Fountain+ (Bolster),Greed,Fitness (Lv. 2),Knowledge (Lv.4),Reload speed+,SPT Master (Devote)
174,Ninagawa Shin'emon,x,x,x,SUP,Honor,Skyshredder,Ultimate,"C13-15, C13-18, P13-8, P13-11",Protection (Lv. 4),Tranquility,Charity,Diffusion (Time +10s),Diffusion+ (Reflect),Altruism+ (Destroy),Taunt+ (Zone),Diffusion+ (Destroy),Barrier+ (Shred),SUP Master (Amplify),Taunt+ (Assist),Bound Souls
175,Ninomiya Sontoku,x,,x,HLG,Peace,Astrapteryx,Normal,"C5-8, S-16",Restoration (Lv. 1),Agility (Stock +1),Stamina (Lv. 2),Vitality (Stock +2),Tolerance (Lv. 2),Agility+ (Bonus),Energy (Reduce),Zeal (Stock +3),Recuperation (Lv. 2),Zeal+ (Ardor),Agility (Stock +3),Devotion
176,Nitta Yoshisada,x,,x,DEF,Honor,Chthonian Fiend,Normal,"C4-17, C5-11, P4-18, P5-3",Protection (Lv. 2),Verity (Lv.2),Protection of Heroes,Taunt (Stock +2),Taunt+ (Sturdy),Fortune (Stock +2),Random (Reduce),Protection (Lv. 3),Restart,Tranquility,Taunt+ (Amity),Barrier+ (Link)
177,Nomi no Sukune,x,,x,ATK,Yore,Sableblade,Ex,"C7-15, C7-17, P7-8, P10-8",Flying Blade,Leech (Time +5s),Lure (Lv. 2),Taunt+ (Swift),Relaxation,Might (Reduce),Perseverance,Attack up (Lv.3),Evasion,ATK Master (Amplify),Exuberance,Majesty
178,O no Yasumaro,x,,x,DEF,Grace,Blitzer,Normal,C2-2,Protection (Lv. 1),Taunt (Stock +1),Stamina (Lv. 2),Protection (Lv. 2),Lure (Lv. 2),Tranquility,Shield (Reduce),Shield+ (Valiant),Protection (Lv. 3),Shield (Stock +3),Taunt+ (Assist),Shield+ (Range)
179,Oda Nobunaga,x,,x,SPC,War,Cimmerian King,Normal,"C5-18, C5-19, P5-18",Heroes' Rally,Perseverance,Warp (Reduce),Sanctum (Stock +1),Fitness (Lv. 2),Paradox+ (Surprise),Paradox (Time +5s),Restart,Prescience,SPC Master (Quicken),Reload speed+,Paradox+ (Destroy)
180,Ogata Koan,x,,x,HLG,Chaos,Chapter 3,-,,Verity (Lv.1),Tolerance (Lv. 2),Stamina (Lv. 2),Vitality (Stock +2),Leech+ (Absorb),Leech (Stock +1),Might (Reduce),Stamina (Lv. 3),Fitness (Lv. 2),Devotion,Vitality+ (Assist),Exuberance
181,Oichi,x,,x,ATK,War,Cimmerian King,Normal,"C5-18, C5-19, P5-18",Recovery+ (Amplify),Chain,Leech (Time +5s),Recuperation (Lv. 2),Vitality (Time +5s),Leech+ (Amplify),Panacea (Reduce),Leech (Stock +3),Stamina (Lv. 4),Vitality+ (Rigid),Leech+ (Absorb),Exuberance
182,Oishi Kuranosuke,x,,x,SPD,Peace,Astrapteryx,Ex,"C7-13, C11-11, P7-13, P8-9, P10-10",Devastation,Heroes' Rally,Verity (Lv.2),Vitality+ (Rigid),Zeal+ (Accuracy),Agility+ (Sneak),Zeal+ (Ardor),Charge,Energy+ (Bonus),Application (Lv. 4),Verity (Lv.4),Bound Souls
183,Oiwa,x,,x,SPT,Peace,Frostwing,Ex,"C7-13, P7-13, S-21",Fountain+ (Bolster),Desperation,Knowledge (Lv.2),Fountain (Reduce),Attack up (Lv.2),Stealth (Lv. 2),Leech (Stock +2),Leech+ (Wraith),Attack up (Lv.3),Fountain (Stock +3),Leech+ (Havoc),Knowledge (Absorb)
184,Okada Izo,x,,x,SPD,Chaos,Shadow Soul,Ex,"C7-14, P8-8",Stealth (Lv. 2),Chain,Verity (Lv.2),Fortune+ (Accuracy),Energy+ (Accuracy),Energy+ (Swift),Puncture+ (Accuracy),SPD Master (Minimize),DCT Master (Assault),Verity (Lv.3),Gouge Master,Devastation
185,Okikurumi,x,x,x,ATK,Yore,Mortabella,Ultimate,"P14-21, P17-1",Attack up (Lv.4),Devastation,Might+ (Rage),Convergence,Might+ (Nimble),Insight,Might+ (Attributes),Knowledge (Leech),Knowledge (Absorb),Carnage+ (Martyr),Carnage+ (Destroy),Carnage (Stock +2)
186,Okita Soji,x,,x,ATK,Chaos,Pyrogrinder,Ex,"C7-6, C11-12, P7-10, P8-8, P9-15, P10-19",Swiftness,Chain,Verity (Lv.3),Might (Stock +3),Gymnast,Energy (Time +10s),Vigor+ (Rigid),Attack up (Lv.4),Prescience,Vigor+ (Special),Flying Blade,Fervor
187,Okubo Toshimichi,x,,x,HLG,Chaos,Pyrogrinder,Normal,"C5-16, P5-9",Wrath,Vitality (Stock +2),Stamina (Lv. 2),Pursuit+ (Leech),Pursuit+ (Purify),Renewal (Lv. 2),Pursuit (Reduce),Stamina (Lv. 3),SPT Master (Augument),Vitality+ (Zone),Panacea (Stock +1),Protection of Heroes
188,Ono no Imoko,x,,x,LCK,Yore,Nightblade,Normal,"C5-17, P5-10, P5-16",Renewal (Lv. 1),Heroes' Rally,Vitality (Time +10s),Random (Stock +2),Attack up (Lv.2),Zeal (Stock +2),Panacea (Reduce),Attack up (Lv.3),Leech+ (Amplify),Recovery+ (Blessing),Leech+ (Absorb),Protection of Heroes
189,Ono no Komachi,x,,x,SPD,Grace,Viper Queen,Ex,"C6-5, C6-17, P6-14, P10-13",Alertness,Resillience,Recovery+ (Heal),Agility+ (Dual),Taunt+ (Protect),Tolerance (Lv. 3),Recovery+ (Range),Agility+ (Quicken),Vitality+ (Heal),DEF Master (Resist),Vigor+ (Assist),Protection of Heroes
190,Ono no Takamura,x,x,x,SPC,Grace,Manhunter,Ultimate,"C13-8, P13-1",Expert Destroyer,Chain,Warp (Stock +15),Paradox (Reduce),Ablution+ (Reduce),PLN Master (Extend),Breaker+ (Link),Warp+ (Accuracy),Ablution+ (Quicken),Paradox+ (Destroy),Majesty,Insight
191,Ooka Echizen,x,,x,SPT,Peace,Pyropteryx,Ex,"C7-1, C7-5, P7-1, P7-14, P10-10, P12-2",Attack up (Lv.2),Chain,Heroes' Rally,Fountain (Stock +2),Fitness (Lv. 1),Paradox (Time +5s),Pursuit+ (Absorb),Attack up (Lv.3),Pursuit+ (Devour),Fountain+ (Attract),Paradox+ (Attract),Protection of Heroes
192,Oryo,x,,x,DEF,Chaos,Manhunter,Normal,"C4-13, P4-17",Lure (Lv. 1),Chain,Stamina (Lv. 2),Taunt (Stock +2),Taunt+ (Sturdy),Chance,Taunt (Reduce),DEF Master (Lure),Protection (Lv. 3),Shield+ (Link),Taunt+ (Zone),Taunt (Time +10s)
193,Oshio Heihachiro,x,x,x,PLN,Peace,Astrapteryx,Ultimate,P14-8,Charge,Perseverance,Charity,Ablution+ (Wrath),Ablution+ (Reduce),Diffusion+ (Destroy),Breaker (Time +5s),Diffusion+ (Reflect),Breaker+ (Amplify),Sacrifice (Stock +1),Breaker+ (Link),Swordsmanship
194,Ota Dokan,x,,x,HLG,War,Edax,Normal,C5-5,Lure (Lv. 1),Fervor,Stamina (Lv. 2),Vitality (Stock +1),Tolerance (Lv. 2),Taunt (Time +10s),Shield (Reduce),Taunt+ (Amity),Stamina (Lv. 3),Shield+ (Link),Vitality+ (Amplify),Majesty
195,Otani Seiichiro,x,x,x,ATK,Chaos,Hell's Sentinel,Ultimate,"P16-11, P16-14",Bound Souls,Swiftness,Leech+ (Amplify),Altruism+ (Nimble),Restoration (Lv. 4),Altruism+ (Accuracy),Leech+ (Quicken),Lifebringer,Altruism+ (Amplify),Leech+ (Range),Sacrifice+ (Leech),Introspection
196,Otani Yoshitsugu,x,x,x,SUP,War,Chthonian Fiend,Normal,"C5-13, P5-6",Chain,Attack up (Lv.1),Recuperation (Lv. 1),Sacrifice (Time +5s),Fortune+ (Kismet),Attack up (Lv.3),Recuperation (Lv. 2),Revival+ (Blessing),SUP Master (Hardy),Revival+ (Quicken),Sacrifice+ (Leech),Restart
197,Otomo no Miyuki,x,x,x,SUP,Yore,Viper Queen,Normal,"C4-11, C4-14, P4-5, P4-9",Knowledge (Lv.1),Chain,Altruism (Time +5s),Fountain+ (Attract),Altruism+ (Amplify),Knowledge (Leech),SUP Master (Amplify),Knowledge (Lv.3),Pursuit+ (Raid),Altruism+ (Attrib.),Pursuit+ (Devour),Knowledge (Lv.4)
198,Otomo no Yakamochi,x,x,x,SUP,Grace,Cacarion,Ultimate,"C13-29, P13-22, P17-2",Swordsmanship,Piety,Charge,Master Assassin,Ablution (Time +3s),Diffusion (Stock +3),Ablution+ (Restore),Diffusion (Time +10s),Ablution+ (Extend),Diffusion+ (Quicken),Verity (Lv.4),Heroes' Rally
199,Otomo Sorin,x,x,x,PLN,War,Phlogistor,Ex,"C12-1, C12-9, P11-7, P12-4",Renewal (Lv. 1),Dissection (Health),Piety,Vitality+ (Amplify),Renewal (Lv. 2),Ablution+ (Potency),Ablution (Stock +3),Recovery+ (Blessing),Ablution+ (Wrath),Panacea+ (Destroy),Recovery+ (Range),Majesty
200,Otose,x,,x,HLG,Chaos,Bloodhunter,Normal,"C4-13, P4-17",Recovery (Stock +1),Chain,Stamina (Lv. 1),Determination,Puncture+ (Absorb),Puncture (Stock +2),Stupor (Reduce),Zeal (Stock +3),Recuperation (Lv. 2),Affliction (Lv. 3),Zeal (Time +10s),Exploit (Absorb)
201,Prince Naka-no-Oe,x,,x,DEF,Yore,Nightblade,Ex,"C7-10, C11-17, P9-14, P9-18, P10-11, P11-10",Protection (Lv. 2),Devastation,Swordsmanship,Taunt (Stock +2),Verity (Lv.3),Shield (Stock +3),Piety,Tranquility,Heroes' Rally,DEF Master (Rigid),Wrath,DEF Master (Valiant)
202,Prince Otsu,x,x,x,PLN,Yore,Terragrinder,Normal,"C4-8, C5-6, P4-8, P5-15",Verity (Lv.1),Chain,Swordsmanship,Ablution (Stock +1),Vigor (Reduce),Ablution (Time +3s),Ablution+ (Potency),Vigor+ (Wraith),Verity (Lv.3),Vigor+ (Destroy),Intensity+ (Reduce),Insight
203,Prince Shotoku,x,,x,DCT,Yore,Nightblade,Normal,"C5-17, P5-10, P5-16",Stoutness,Swordsmanship,Puncture (Stock +1),Puncture+ (Shoot),Puncture (Reduce),Stamina (Lv. 3),DCT Master (Assault),Puncture+ (Amplify),Verity (Lv.3),DCT Master (Wraith),Chain,Puncture+ (Absorb)
204,Princess Nukata,x,,x,SPT,Yore,Viper Queen,Normal,"C4-11, C4-14, P4-5, P4-9",Attack up (Lv.1),Pursuit (Stock +2),Knowledge (Lv.2),Might (Stock +1),Attack up (Lv.2),Might+ (Attributes),Leech (Reduce),Expert Destroyer,Leech+ (Absorb),Knowledge (Lv.3),Knowledge (Absorb),Knowledge (Lv.4)
205,Raiden Tame'emon,x,,x,DEF,Peace,Jollux,Ex,"P10-7, P11-9",Lure (Lv. 2),Swiftness,Stone Wall,Taunt+ (Swift),Paradox+ (Brawn),Paradox (Time +5s),Energy+ (Swift),Protection (Lv. 3),Fortitude,DEF Master (Lure),Confrontation,Majesty
206,Saicho,x,,x,SPD,Grace,Skyshredder,Normal,C5-9,Protection (Lv. 1),Sanctum (Stock +1),Verity (Lv.2),Agility (Stock +2),Application (Lv. 2),Dissection (Focus),Energy+ (Swift),Verity (Lv.3),Warp+ (Flight),Vigor+ (Link),Agility+ (Quicken),Protection of Heroes
207,Saigo Takamori,x,,x,DEF,Chaos,Pyrogrinder,Ex,"C7-6, C11-12, P7-10, P8-8, P9-15, P10-19",Dissection (Focus),Stamina (Lv. 2),Conviction,Lure (Lv. 2),Devotion,Barrier (Time +10s),Devastation,Attack up (Lv.3),Vigor+ (Special),Barrier+ (Brawn),Barrier (Reduce),Desperation
208,Saigyo,x,,x,SPT,Grace,Umbrapod,Ex,"C6-13, C11-14, P10-2",Tenacity,Pursuit+ (Track),Eruption+ (Accuracy),Pursuit (Stock +2),SPT Master (Purify),Random (Stock +2),Knowledge (Lv.3),Conviction,Random+ (SPT Style),Eruption+ (Raid),Fitness (Lv. 2),Pursuit+ (Raid)
209,Saika Magoichi,x,,x,SPT,War,Windshredder,Normal,C3-9,Knowledge (Lv.1),Chain,Pursuit+ (Bolster),Fountain (Stock +1),Pursuit+ (Accuracy),Pursuit (Stock +2),Pursuit (Reduce),Eruption (Stock +1),Fitness (Lv. 2),Recovery+ (Amplify),Mitama Pulse,Eruption+ (Raid)
210,Saito Dosan,x,,x,DCT,War,Cimmerian King,Normal,"C5-18, C5-19, P5-18",Affliction (Lv. 1),Lure (Lv. 2),Stamina (Lv. 2),Stupor (Stock +1),Verity (Lv.2),Devotion,Prescience,Affliction (Lv. 4),Conviction,Verity (Lv.4),DCT Master (Assault),Stupor (Time +2s)
211,Saito Hajime,x,,x,SPD,Chaos,Terragrinder,Ex,"C7-2, C7-4, C9-2, P7-2, P7-15, P8-8, P9-15, P10-19",Chain,Knowledge (Lv.3),Devotion,Stamina (Lv. 3),Dissection (Focus),Verity (Lv.3),Vigor (Time +10s),Expert Destroyer,Application (Lv. 4),SPD Master (Minimize),Tempered Blade,Vigor (Stock +1)
212,Saito Kichi,x,x,x,DCT,Chaos,Glaciabella,Ultimate,"P14-11, P15-9, P17-6",Verity (Lv.4),Wrath,Charity,Sacrifice (Stock +1),Devastation,Falling Petals,Illusion+ (Assist),Sacrifice (Time +10s),Illusion (Stock +3),Sacrifice+ (Link),Lowered Immunity,Exploit (Accuracy)
213,Sakamoto Otome,x,,x,ATK,Chaos,Terragrinder,Ex,"C7-2, C7-4, C9-2, P7-2, P7-15, P8-8, P9-15, P10-19",Charge,Verity (Lv.2),Fervor,Puncture+ (Accuracy),Leech (Stock +2),Might (Time +10s),Devotion,Warp+ (Accuracy),Verity (Lv.3),Sanctum+ (Accuracy),Butterfly Dance,Verity (Lv.4)
214,Sakamoto Ryoma,x,,x,LCK,Chaos,Terragrinder,Normal,"C3-12, C4-2, P3-9, P3-14",Determination,Swordsmanship,Dissection (Health),Fortune+ (Amplify),Lure (Lv. 2),Random+ (Gamble),Fortune+ (Quicken),Warp+ (Reverse),Fortune+ (Miracle),Sanctum+ (Accuracy),Revival+ (Quicken),Heroes' Rally
215,Sakanoue no Tamuramaro,x,,x,ATK,Grace,Bladewing,Ex,"C7-7, P9-7",Swordsmanship,Application (Lv. 2),Knowledge (Lv.2),Might (Stock +2),Leech+ (Rigid),Might (Time +5s),Might (Reduce),Might+ (Attributes),Affliction (Lv. 4),Carnage+ (Destroy),Knowledge (Leech),Might+ (Nimble)
216,Sakata no Kintoki,x,,x,DEF,Grace,Frostwing,Ex,"C7-8, P6-18, P7-11",Taunt+ (Protect),Protection (Lv. 2),Recovery+ (Range),Shield (Stock +3),Lifesaver,Stamina (Lv. 4),Shield+ (Range),Vitality+ (Sturdy),Restoration (Lv. 3),Recovery+ (Blessing),Earthshaker,Protection of Heroes
217,Sanada Yukimura,x,,x,ATK,War,Astrapteryx,Ex,"C7-9, P7-9, P10-9",Dissection (Focus),Chain,Verity (Lv.2),Fervor,Attack up (Lv.3),Zeal+ (Accuracy),Might+ (Nimble),Might (Reduce),Verity (Lv.3),Might (Time +10s),Lightspeed trust,Verity (Lv.4)
218,Sarutahiko,x,x,x,PLN,Yore,Nightblade,Ultimate,"P16-2, P16-15",Warp+ (Accuracy),Warp (Bonus),Swordsmanship,Aerial Assault,Ablution (Stock +3),Insight,Restart,Breaker (Stock +3),Intensity (Time +10s),PLN Master (Extend),Paradox (Stock +1),Heroes' Rally
219,Sarutobi Sasuke,x,,x,SPD,War,Shadow Soul,Normal,"C3-9, C5-5, S-3, S-12, S-15",Chain,Application (Lv. 1),Energy (Stock +1),Energy (Time +5s),Restoration (Lv. 2),Agility (Stock +2),Agility (Reduce),Verity (Lv.3),Application (Lv. 3),Agility+ (Dual),Spin Doctor,Agility+ (Bonus)
220,Sasaki Doyo,x,,x,LCK,Honor,Chthonian Fiend,Normal,"C4-17, C5-11, P4-18, P5-3",Antidote,Puncture (Reduce),Recovery+ (Blessing),Fortune (Stock +2),Fortune (Time +5s),Fortune+ (Remove),Persistence,Fortune+ (Surprise),Illusion+ (Sanctity),Puncture+ (Accuracy),Puncture+ (Surprise),Exploit (Accuracy)
221,Sasaki Kojiro,x,,x,SPD,War,Dreadhalf,Ex,"C6-8, C7-18, C11-15, P6-13, S-19",Lure (Lv. 2),Agility+ (Dual),Swordsmanship,Agility+ (Quicken),Energy+ (Lure),Agility (Reduce),Verity (Lv.3),Evasion,Restoration (Lv. 3),Vigor+ (Nimble),Flying Blade,Vigor+ (Special)
222,Sei Shonagon,x,,x,HLG,Grace,Jollux,Normal,"C3-10, P3-6, S-11",Lifesaver,Chain,Piety,Recovery+ (Range),HLG Master (Rally),Recovery (Stock +2),Recovery+ (Amplify),Vitality+ (Amplify),Recuperation (Lv. 2),Vitality+ (Zone),Vitality (Stock +3),Charity
223,Semimaru,x,,x,SPT,Grace,Windshredder,Normal,"C3-2, P2-11",Restoration (Lv. 1),Swiftness,Knowledge (Lv.2),Pursuit (Stock +2),Chain,Energy (Stock +2),Evasion,Vigor+ (Wraith),Vigor+ (Nimble),Expert Destroyer,Pursuit+ (Absorb),Determination
224,Sen no Rikyu,x,,x,HLG,War,Drumble,Ex,P6-5,Zeal+ (Amplify),Chain,Determination,Zeal (Stock +2),Energy+ (Bonus),Ebullience,Zeal+ (Ardor),Agility+ (Bonus),Restoration (Lv. 3),Zeal (Time +10s),Fervor,Recovery+ (Bonus)
225,Serizawa Kamo,x,x,x,SPC,Chaos,Putrox,Ex,"C9-6, C12-8, P11-1, P12-9",Expert Destroyer,Dissection (Focus),Desperation,Incandescence,Ablution+ (Wrath),Warp+ (Accuracy),Intensity+ (Reduce),Prescience,Intensity (Amplify),Exploding Fist,Swordsmanship,Fervor
226,Sesshu,x,,x,DCT,Honor,Frostwing,Ex,"C7-11, C7-16, P9-3, P10-15",Stealth (Lv. 1),Pursuit+ (Surprise),Affliction (Lv. 2),Fountain (Reduce),Stealth (Lv. 2),Fountain (Stock +3),Eruption (Reduce),Affliction (Lv. 3),Stupor (Time +2s),Eruption+ (Sneak),Pursuit+ (Raid),Exuberance
227,Shakushain,x,,x,SPD,Peace,Skyshredder,Normal,"C4-15, S-6",Chain,Knowledge (Lv.2),Verity (Lv.2),Energy (Stock +2),Fountain+ (Surprise),Pursuit (Stock +2),Gymnast,Application (Lv. 3),SPT Master (Renewal),Pursuit+ (Devour),Knowledge (Absorb),Knowledge (Lv.4)
228,Shimazu Yoshihiro,x,x,x,PLN,War,Jollux,Ultimate,"C13-10, P13-3",Attack up (Lv.3),Muscle-bound,Persistence,Intensity (Amplify),Ablution+ (Rigid),Conviction,Ablution+ (Potency),Attack up (Lv.4),Exploding Fist,Intensity+ (Link),Stamina (Lv. 4),Intensity (Insight)
229,Shimizu no Jirocho,x,,x,LCK,Chaos,Hell's Warden,Ex,"C7-14, C9-5, P7-7, P8-16",Chain,Desperation,Chance,Fortune (Time +10s),Fortune+ (Bonus),Fortune+ (Accuracy),Fortune+ (Sturdy),Fortune+ (Gambler),Fortune+ (Amplify),Revival+ (Blessing),Wrath,Fortune+ (Blessing)
230,Shishido Baiken,x,,x,DCT,War,Sableblade,Ex,"P9-8, P10-20",Notice Destroyer,Wrath,Fitness (Lv. 1),Paradox (Stock +1),Illusion+ (Sneak),Charge,Paradox (Reduce),Affliction (Lv. 3),Paradox+ (Surprise),Arcanum,Fervor,Exploit (Accuracy)
231,Shunten,x,,x,HLG,Honor,Bloodhunter,Ex,"C6-16, C10-2, P8-14, P10-6, S-23",Recovery+ (Amplify),Renewal (Lv. 2),Zeal (Time +5s),Sanctum+ (Amplify),Vitality (Time +10s),Sanctum (Time +10s),Paradox (Time +5s),Stamina (Lv. 3),Protection of Heroes,SPC Master (Quicken),Paradox (Reduce),Heroes' Rally
232,Shuten Doushi,x,x,x,PLN,Grace,Windshredder,Normal,"C3-2, P2-11",Verity (Lv.1),Breaker+ (Reduce),Verity (Lv.2),Puncture+ (Amplify),Devastation,Arms of Steel,Ablution+ (Rigid),Energy+ (Accuracy),Fortitude,Breaker+ (Link),Verity (Lv.4),Wrath
233,Sister Zenshin,x,x,x,SUP,Yore,Glaciabella,Ex,"C10-12, P11-3",Perseverance,Stoutness,Persistence,Shield (Stock +2),Diffusion+ (Rigid),Protection (Lv. 3),Diffusion+ (Reflect),Shield+ (Range),Protection (Lv. 4),Sacrifice+ (Minimize),Shield+ (Valiant),Tenacity
234,Soga no Iruka,x,,x,DCT,Yore,Jollux,Normal,C4-3,Restoration (Lv. 1),Swiftness,Restoration (Lv. 2),Puncture (Stock +2),Verity (Lv.2),Agility+ (Sneak),Vigor (Reduce),Restoration (Lv. 3),Energy (Stock +2),Master Destroyer,Exploit (Leech),Majesty
235,Soga no Umako,x,,x,DCT,Yore,Umbrapod,Normal,"C4-1, C5-6, P5-7, S-14",Protection (Lv. 1),Devastation,Stamina (Lv. 2),Puncture (Stock +1),Verity (Lv.2),Shield (Stock +2),Barrier (Reduce),Evasion,Affliction (Lv. 3),DEF Master (Resist),Exploit (Accuracy),Charge
236,Soga Sukenari,x,x,x,DEF,Honor,Petros,Ex,"C12-3, P12-6, P12-10",Attack up (Lv.3),Knowledge (Lv.3),Ablution (Stock +2),Great Ambition,Ablution+ (Potency),Ablution (Time +3s),Breaker+ (Link),Attack up (Lv.4),Knowledge (Lv.4),DEF Master (Valiant),Majesty,Knowledge (Absorb)
237,Soga Tokimune,x,x,x,PLN,Honor,Anomalos,Ultimate,"C13-28, P13-21, P14-5, P15-20, P17-3",Swiftness,Chain,Ablution+ (Nimble),Restoration (Lv. 4),Ablution (Stock +3),Ablution+ (Extend),Evasion,Whirlwind,Breaker+ (Link),PLN Master (Extend),Protection of Heroes,Ablution+ (Wrath)
238,Sugawara no Michizane,x,,x,SPC,Grace,Bloodhunter,Ex,"C6-10, C6-13, P8-6, P9-16, P10-13",Swiftness,Heroes' Rally,Warp+ (Accuracy),Warp (Stock +10),Warp (Bonus),Energy (Stock +2),Vigor (Reduce),Application (Lv. 4),Expert Destroyer,Energy+ (Quicken),Surveyance,Wrath
239,Sugita Genpaku,x,x,x,HLG,Peace,Frostwing,Ultimate,P15-12,Recovery (Stock +3),Zeal+ (Amplify),Recovery+ (Range),Mitama Pulse,Protection of Heroes,Vitality (Stock +3),Vitality+ (Amplify),Vitality+ (Heal),Zeal (Stock +3),Vitality+ (Zone),Exuberance,Panacea (Stock +2)
240,Susano'o,x,,x,ATK,Yore,Jollux,Ex,P8-10,Carnage (Stock +1),Chain,Conviction,Verity (Lv.2),Dissection (Health),Carnage+ (Link),Verity (Lv.3),Carnage (Time +5s),Attack up (Lv.4),Carnage+ (Almighty),Stamina (Lv. 4),Might+ (Havoc)
241,Tachibana Muneshige,x,x,x,PLN,War,Phlogistor,Ultimate,"C13-21, C13-31, P13-14, P17-4",Protection (Lv. 4),Ablution+ (Rigid),Intensity (Amplify),Fortification,PLN Master (Amplify),DEF Master (Valiant),Intensity (Stock +1),Barrier (Stock +1),Taunt+ (Damage),Barrier+ (Link),Restart,Majesty
242,Taira no Atsumori,x,,x,SPT,Honor,Windshredder,Ex,"C8-5, P6-2, P6-10, P6-16, P9-17",Stealth (Lv. 1),Devotion,Affliction (Lv. 2),Stealth (Lv. 2),Puncture (Reduce),DCT Master (Wraith),Ebullience,Affliction (Lv. 3),Stupor (Stock +1),Pursuit+ (Surprise),Exploit (Wrath),Affliction (Lv. 4)
